0.076,0.726,0.814,0.818,0.812,0.812,0.812,0.808,0.81,0.81,0.814,0.814
0.042,0.7,0.798,0.792,0.794,0.808,0.81,0.804,0.812,0.812,0.81,0.81
0.046,0.79,0.81,0.814,0.818,0.808,0.806,0.814,0.814,0.818,0.816,0.816
0.09,0.748,0.82,0.82,0.814,0.816,0.812,0.812,0.818,0.822,0.822,0.822
0.016,0.788,0.812,0.812,0.824,0.824,0.826,0.818,0.816,0.826,0.824,0.824
0.118,0.694,0.802,0.802,0.808,0.816,0.816,0.816,0.814,0.816,0.816,0.816
0.072,0.738,0.814,0.798,0.798,0.792,0.79,0.798,0.8,0.798,0.792,0.792
0.026,0.712,0.818,0.814,0.816,0.818,0.818,0.818,0.818,0.816,0.812,0.812
0.106,0.73,0.814,0.798,0.816,0.82,0.826,0.828,0.824,0.82,0.82,0.82
0.048,0.69,0.81,0.818,0.818,0.818,0.822,0.826,0.826,0.822,0.818,0.818
0.044,0.764,0.814,0.828,0.824,0.824,0.826,0.818,0.818,0.818,0.814,0.814
0.07,0.72,0.804,0.802,0.822,0.812,0.818,0.824,0.828,0.828,0.826,0.826
0.028,0.766,0.812,0.804,0.81,0.806,0.802,0.804,0.798,0.798,0.802,0.802
0.02,0.748,0.808,0.814,0.82,0.818,0.824,0.814,0.814,0.814,0.818,0.818
0.08,0.76,0.814,0.814,0.814,0.822,0.828,0.82,0.83,0.832,0.826,0.826
0.108,0.706,0.802,0.814,0.826,0.82,0.826,0.832,0.836,0.832,0.828,0.828
0.056,0.784,0.838,0.824,0.822,0.818,0.824,0.82,0.824,0.828,0.828,0.828
0.094,0.75,0.818,0.826,0.828,0.818,0.824,0.83,0.828,0.828,0.826,0.826
0.046,0.734,0.81,0.816,0.812,0.82,0.814,0.814,0.81,0.814,0.812,0.812
0.106,0.716,0.818,0.818,0.818,0.814,0.814,0.816,0.816,0.818,0.814,0.814
